id,flower_cls
3201,anthurium
1989,anthurium
4983,anthurium
7337,anthurium
163,anthurium
10210,anthurium
597,anthurium
12032,anthurium
3577,anthurium
3584,anthurium
1525,anthurium
1828,anthurium
2777,anthurium
9019,anthurium
11514,anthurium
1375,anthurium
10173,anthurium
4811,anthurium
8958,anthurium
9112,anthurium
942,anthurium
1020,anthurium
4386,anthurium
10453,anthurium
11636,anthurium
3895,anthurium
3474,anthurium
8092,anthurium
3359,anthurium
8220,anthurium
4402,anthurium
12687,anthurium
4416,anthurium
7330,anthurium
5790,anthurium
8161,anthurium
7483,anthurium
8836,anthurium
642,anthurium
9181,anthurium
12627,anthurium
3838,anthurium
1715,anthurium
486,anthurium
9498,anthurium
1902,anthurium
4376,anthurium
10881,anthurium
5023,anthurium
3874,anthurium
5405,anthurium
6962,anthurium
8917,anthurium
11245,anthurium
12371,anthurium
5568,anthurium
9127,anthurium
1475,anthurium
10037,anthurium
11839,anthurium
704,anthurium
5159,anthurium
963,anthurium
10460,anthurium
12745,anthurium
5998,anthurium
7027,anthurium
2532,anthurium
11794,anthurium
6750,anthurium
10345,anthurium
7035,anthurium
8540,anthurium
3145,anthurium
4705,anthurium
11316,anthurium
6014,anthurium
7958,anthurium
3233,anthurium
1230,anthurium
12609,anthurium
2345,anthurium
6250,anthurium
3048,anthurium
382,anthurium
12323,bromelia
478,bromelia
7885,bromelia
6211,bromelia
12616,bromelia
12193,bromelia
9954,bromelia
4682,bromelia
8282,bromelia
1435,bromelia
768,bromelia
6506,bromelia
622,bromelia
6016,bromelia
12099,bromelia
4142,bromelia
8162,bromelia
4361,bromelia
2600,bromelia
9580,bromelia
1665,bromelia
9049,bromelia
11488,bromelia
10684,bromelia
1656,bromelia
2406,bromelia
9620,bromelia
8517,bromelia
1411,bromelia
8132,bromelia
8113,bromelia
5350,bromelia
445,bromelia
1409,bromelia
7780,water lily
2245,water lily
1929,water lily
3226,water lily
8193,water lily
887,water lily
11431,water lily
3273,water lily
10528,water lily
11358,water lily
5553,water lily
6363,water lily
425,water lily
10415,water lily
9457,water lily
7472,water lily
4267,water lily
12061,water lily
3678,water lily
5153,water lily
4491,water lily
7776,water lily
9494,water lily
1843,water lily
10928,water lily
8663,water lily
10155,water lily
761,water lily
4648,water lily
11501,water lily
1400,water lily
9556,water lily
12027,water lily
4017,water lily
1097,water lily
2434,water lily
901,water lily
3126,water lily
6158,water lily
7290,water lily
10387,water lily
12695,water lily
9833,water lily
2588,water lily
5412,water lily
10676,water lily
5825,water lily
3981,water lily
12436,water lily
6492,water lily
8935,water lily
12207,water lily
12362,water lily
910,water lily
12039,water lily
6271,water lily
12644,water lily
11896,water lily
5161,water lily
7862,water lily
2876,water lily
10039,water lily
2135,water lily
2533,water lily
3721,water lily
6392,water lily
1700,water lily
3685,water lily
9889,water lily
7468,water lily
7739,water lily
2615,water lily
11203,water lily
9215,water lily
7886,water lily
11078,water lily
4732,water lily
7043,water lily
4571,water lily
7333,water lily
10277,water lily
10020,water lily
7835,water lily
8441,water lily
7713,water lily
4530,water lily
8952,water lily
3681,water lily
5759,water lily
8430,water lily
9700,water lily
4998,water lily
12445,water lily
11567,water lily
3434,water lily
8911,water lily
4626,water lily
12441,water lily
8875,water lily
2749,water lily
7751,water lily
4289,water lily
4240,water lily
7228,water lily
8129,water lily
11077,water lily
735,water lily
7098,water lily
8945,water lily
10259,water lily
534,water lily
11086,water lily
5848,water lily
6034,water lily
2834,water lily
4056,water lily
1734,water lily
9104,water lily
5981,water lily
1194,water lily
5730,water lily
11994,water lily
17,water lily
3385,water lily
12336,water lily
2350,water lily
71,water lily
5606,water lily
1610,water lily
4459,water lily
132,water lily
11005,water lily
4353,water lily
11467,water lily
8579,water lily
11831,water lily
4431,water lily
12226,water lily
5185,water lily
6200,water lily
3154,water lily
11121,water lily
5012,water lily
1993,water lily
9413,water lily
106,water lily
6889,water lily
10573,water lily
6343,water lily
3686,water lily
12373,water lily
7682,water lily
9654,water lily
75,water lily
3790,water lily
12367,water lily
6838,water lily
2003,water lily
5442,water lily
1647,water lily
5702,water lily
926,water lily
6557,water lily
1108,water lily
2201,water lily
8907,water lily
1190,water lily
3121,love in the mist
4891,love in the mist
12190,love in the mist
7433,love in the mist
6412,love in the mist
2497,love in the mist
11224,love in the mist
10382,love in the mist
10729,love in the mist
3524,love in the mist
3022,love in the mist
11193,love in the mist
1830,love in the mist
5812,love in the mist
6212,love in the mist
7814,love in the mist
7551,love in the mist
6300,love in the mist
1141,love in the mist
10488,love in the mist
1142,love in the mist
2353,love in the mist
10271,love in the mist
8795,morning glory
4042,morning glory
2183,morning glory
12710,morning glory
9544,morning glory
10183,morning glory
4500,morning glory
3442,morning glory
10331,morning glory
4096,morning glory
5312,morning glory
5670,morning glory
12655,morning glory
2513,morning glory
2759,morning glory
7024,morning glory
7469,morning glory
4561,morning glory
5838,morning glory
5063,morning glory
3124,morning glory
9597,morning glory
9150,morning glory
4750,morning glory
1518,morning glory
8261,morning glory
3001,morning glory
6864,morning glory
5892,morning glory
11100,morning glory
10408,morning glory
10222,morning glory
723,morning glory
7583,morning glory
12036,morning glory
5676,morning glory
4249,morning glory
6658,morning glory
11143,morning glory
350,morning glory
9970,morning glory
5378,morning glory
1666,morning glory
8127,morning glory
2555,morning glory
8488,morning glory
3215,morning glory
11719,morning glory
10466,morning glory
4882,morning glory
549,morning glory
8167,morning glory
6681,morning glory
7997,morning glory
10727,morning glory
11579,morning glory
8352,morning glory
212,morning glory
8487,morning glory
4812,morning glory
11618,morning glory
10533,morning glory
3367,morning glory
3620,morning glory
8422,morning glory
8712,morning glory
9607,morning glory
12743,morning glory
3515,morning glory
1802,morning glory
5358,morning glory
2599,morning glory
1157,morning glory
10685,morning glory
4393,morning glory
3008,morning glory
4687,morning glory
10610,morning glory
3244,morning glory
6414,morning glory
12106,morning glory
11013,morning glory
4194,morning glory
1272,morning glory
1799,morning glory
1030,morning glory
6542,morning glory
9486,morning glory
3735,morning glory
3408,morning glory
6339,morning glory
2400,morning glory
826,morning glory
9582,morning glory
3867,morning glory
7795,morning glory
4040,morning glory
8030,morning glory
4992,morning glory
11251,morning glory
1804,morning glory
2274,morning glory
12232,morning glory
3856,morning glory
12620,morning glory
802,morning glory
3030,morning glory
3786,morning glory
9951,morning glory
10942,morning glory
9398,morning glory
172,morning glory
6230,morning glory
2821,morning glory
2358,morning glory
10779,morning glory
8372,morning glory
6001,morning glory
12169,morning glory
40,morning glory
12455,morning glory
5683,morning glory
3033,morning glory
5236,morning glory
4620,morning glory
624,morning glory
9698,morning glory
9677,morning glory
3845,morning glory
1617,morning glory
4945,morning glory
7292,morning glory
3551,morning glory
8714,morning glory
6919,morning glory
1936,morning glory
2037,morning glory
11170,morning glory
170,morning glory
7581,morning glory
4250,morning glory
2912,morning glory
5118,morning glory
4766,morning glory
5626,morning glory
7831,morning glory
10263,morning glory
11292,morning glory
5370,morning glory
304,morning glory
5740,morning glory
2139,morning glory
9167,morning glory
6169,morning glory
11705,morning glory
5512,morning glory
1952,morning glory
4836,morning glory
8632,morning glory
4227,morning glory
7619,morning glory
4532,morning glory
12393,morning glory
4108,morning glory
1466,morning glory
11968,morning glory
475,morning glory
366,morning glory
7495,morning glory
8937,morning glory
3748,morning glory
10008,morning glory
4763,morning glory
2381,morning glory
7212,morning glory
699,morning glory
5223,morning glory
6192,morning glory
5395,morning glory
1714,morning glory
3080,morning glory
4995,morning glory
12146,morning glory
9688,morning glory
10866,morning glory
4270,morning glory
3830,morning glory
3296,morning glory
9503,morning glory
6464,morning glory
3131,morning glory
7416,morning glory
10734,morning glory
12692,morning glory
4450,morning glory
3859,morning glory
10203,morning glory
2739,morning glory
7003,morning glory
84,morning glory
9151,morning glory
11821,morning glory
1624,morning glory
5399,morning glory
8091,morning glory
6620,morning glory
5746,morning glory
1750,morning glory
8418,morning glory
10278,morning glory
4097,morning glory
3439,morning glory
974,morning glory
646,morning glory
9924,morning glory
6333,morning glory
1235,morning glory
3646,morning glory
11702,morning glory
9982,morning glory
5733,morning glory
6059,morning glory
3254,morning glory
7990,morning glory
8326,morning glory
4300,morning glory
10360,morning glory
1484,morning glory
11907,morning glory
6781,morning glory
12309,morning glory
2361,morning glory
12201,morning glory
3992,morning glory
159,morning glory
11680,morning glory
11528,morning glory
889,morning glory
1125,morning glory
1168,morning glory
11451,morning glory
3508,morning glory
2850,morning glory
1337,morning glory
83,morning glory
12360,morning glory
11910,morning glory
8310,morning glory
7810,morning glory
1545,morning glory
2577,morning glory
11314,morning glory
3077,morning glory
566,morning glory
8991,morning glory
7000,morning glory
5501,morning glory
8270,morning glory
2473,morning glory
5205,morning glory
7045,morning glory
7321,morning glory
7841,morning glory
10915,morning glory
7881,morning glory
7390,morning glory
6154,morning glory
5806,morning glory
11041,morning glory
5321,morning glory
12053,morning glory
2802,morning glory
1258,morning glory
3058,morning glory
700,morning glory
5373,morning glory
11051,morning glory
143,morning glory
12468,morning glory
8816,morning glory
7707,morning glory
9926,morning glory
7951,morning glory
4963,morning glory
6915,morning glory
7918,morning glory
9743,morning glory
10526,morning glory
12422,morning glory
4420,morning glory
8396,morning glory
5225,morning glory
10498,morning glory
11167,morning glory
2189,morning glory
7743,morning glory
11228,morning glory
8927,morning glory
3136,morning glory
9152,morning glory
2528,morning glory
334,morning glory
3382,morning glory
10167,morning glory
11081,morning glory
12540,morning glory
8219,great masterwort
4317,great masterwort
4792,great masterwort
2430,great masterwort
6181,great masterwort
3190,great masterwort
4494,great masterwort
6055,great masterwort
5893,great masterwort
856,great masterwort
10323,great masterwort
11692,great masterwort
11130,great masterwort
7545,great masterwort
6359,great masterwort
5235,great masterwort
2195,great masterwort
10898,great masterwort
808,great masterwort
7287,great masterwort
3340,great masterwort
3623,great masterwort
2499,great masterwort
3301,great masterwort
521,great masterwort
1068,great masterwort
10042,blackberry lily
12303,blackberry lily
11317,blackberry lily
5345,blackberry lily
411,blackberry lily
11495,blackberry lily
2546,blackberry lily
7903,blackberry lily
12107,blackberry lily
6724,blackberry lily
10655,blackberry lily
3079,blackberry lily
247,blackberry lily
4003,blackberry lily
8106,blackberry lily
4775,blackberry lily
9578,blackberry lily
10064,blackberry lily
695,blackberry lily
8931,blackberry lily
7203,blackberry lily
7889,blackberry lily
3823,blackberry lily
10314,blackberry lily
199,blackberry lily
6173,sweet pea
7712,sweet pea
9753,sweet pea
7012,sweet pea
6388,sweet pea
6180,sweet pea
3736,sweet pea
9416,sweet pea
12077,sweet pea
5044,sweet pea
9752,sweet pea
7274,sweet pea
8693,sweet pea
6042,sweet pea
4335,sweet pea
318,sweet pea
8189,sweet pea
3472,sweet pea
4627,sweet pea
6767,sweet pea
9448,sweet pea
1341,spring crocus
922,spring crocus
3044,spring crocus
5328,spring crocus
4785,spring crocus
5978,spring crocus
9276,spring crocus
8501,spring crocus
6774,spring crocus
3933,spring crocus
3321,spring crocus
5673,spring crocus
4544,spring crocus
11441,spring crocus
3305,spring crocus
5456,spring crocus
12252,spring crocus
6273,spring crocus
2182,spring crocus
6389,spring crocus
8643,spring crocus
11597,bougainvillea
6609,bougainvillea
1849,bougainvillea
4373,bougainvillea
3431,bougainvillea
3512,bougainvillea
9349,bougainvillea
3622,bougainvillea
2529,bougainvillea
3861,bougainvillea
1468,bougainvillea
2049,bougainvillea
8068,bougainvillea
6105,bougainvillea
1431,bougainvillea
10678,bougainvillea
186,bougainvillea
9051,bougainvillea
2321,bougainvillea
9233,bougainvillea
4380,bougainvillea
1103,bougainvillea
9665,bougainvillea
6770,bougainvillea
8292,bougainvillea
147,bougainvillea
6992,bougainvillea
11720,bougainvillea
12227,bougainvillea
1098,bougainvillea
10996,bougainvillea
12551,bougainvillea
5072,bougainvillea
7170,bougainvillea
8621,bougainvillea
12727,bougainvillea
4502,bougainvillea
10649,bougainvillea
9121,bougainvillea
9090,bougainvillea
9843,bougainvillea
287,bougainvillea
229,bougainvillea
11233,bougainvillea
7358,bougainvillea
8098,bougainvillea
9438,bougainvillea
5199,bougainvillea
3817,bougainvillea
12512,bougainvillea
10158,bougainvillea
2460,bougainvillea
2186,bougainvillea
11152,bougainvillea
9236,bougainvillea
2254,bougainvillea
5929,bougainvillea
9627,bougainvillea
9034,bougainvillea
10354,bougainvillea
839,bougainvillea
4343,bougainvillea
11099,bougainvillea
6859,bougainvillea
3186,bougainvillea
11478,bougainvillea
1387,bougainvillea
10769,bougainvillea
5271,bougainvillea
5240,bougainvillea
9799,bougainvillea
10046,bougainvillea
10722,bougainvillea
2869,bougainvillea
11325,bougainvillea
8542,bougainvillea
3195,bougainvillea
10391,bougainvillea
5741,bougainvillea
9310,bougainvillea
6672,bougainvillea
6998,bougainvillea
4964,bougainvillea
10946,bougainvillea
9468,bougainvillea
665,bougainvillea
4499,bougainvillea
6058,bougainvillea
5760,bougainvillea
2684,bougainvillea
1259,bougainvillea
8649,bougainvillea
8194,bougainvillea
5685,bougainvillea
10589,bougainvillea
2090,bougainvillea
2905,bougainvillea
5363,bougainvillea
6503,bougainvillea
10034,bougainvillea
4757,bougainvillea
6013,bougainvillea
10374,bougainvillea
6865,bougainvillea
11798,bougainvillea
8633,bougainvillea
9755,bougainvillea
8698,bougainvillea
12224,bougainvillea
12715,bougainvillea
11552,bougainvillea
7779,bougainvillea
9928,bougainvillea
1361,bougainvillea
8008,bougainvillea
2089,bougainvillea
11048,bougainvillea
10449,bougainvillea
12228,bougainvillea
5605,bougainvillea
2476,bougainvillea
2468,bougainvillea
662,bougainvillea
9005,bougainvillea
3843,bougainvillea
6287,bougainvillea
44,bougainvillea
902,bougainvillea
3510,bougainvillea
9216,bougainvillea
4594,bougainvillea
10601,primula
1459,primula
2021,primula
2817,primula
5818,primula
1923,primula
4956,primula
5696,primula
4444,primula
8177,primula
2556,primula
10172,primula
680,primula
8934,primula
10303,primula
1795,primula
5962,primula
643,primula
9247,primula
1614,primula
4184,primula
10591,primula
9940,primula
8297,primula
588,primula
10459,primula
5379,primula
12307,primula
7849,primula
9584,primula
2633,primula
11327,primula
11880,primula
1320,primula
10492,primula
932,primula
154,primula
2871,primula
2444,primula
12340,primula
1200,primula
5353,primula
524,primula
2584,primula
3730,primula
12304,primula
11147,primula
11263,primula
5742,primula
10711,primula
8017,primula
10775,primula
4663,primula
12073,primula
9549,primula
8899,primula
6443,primula
9973,primula
5920,primula
9913,primula
5167,primula
3362,primula
9714,primula
8402,primula
2087,primula
4859,primula
1016,primula
1914,primula
12600,primula
3918,primula
4052,primula
6128,primula
1426,primula
734,primula
9453,primula
488,primula
2706,primula
181,primula
1687,primula
6989,primula
3851,primula
5191,primula
2558,primula
569,primula
2260,primula
11323,primula
1942,primula
8563,primula
5809,primula
4533,primula
2010,primula
4190,primula
9915,primula
2544,primula
1650,primula
5686,primula
6109,primula
558,primula
6177,primula
9359,primula
6221,primula
314,primula
5859,primula
6410,primula
7952,primula
4483,primula
7871,primula
12243,primula
3633,primula
2096,primula
11767,primula
11697,primula
9684,primula
749,primula
2437,primula
4542,king protea
11917,king protea
8332,king protea
2964,king protea
4461,king protea
9510,king protea
8449,king protea
12004,king protea
5194,king protea
10330,king protea
5918,king protea
1533,king protea
7329,king protea
1654,king protea
320,king protea
11578,king protea
4977,king protea
8379,king protea
4511,king protea
11153,king protea
12634,king protea
4391,king protea
3139,king protea
9101,king protea
5604,king protea
12492,king protea
865,king protea
2688,king protea
3711,king protea
5542,king protea
11842,king protea
9320,king protea
832,king protea
7081,king protea
7470,king protea
10997,king protea
701,king protea
9480,king protea
2173,king protea
4675,king protea
12669,king protea
7932,king protea
2678,king protea
6405,king protea
400,king protea
10130,king protea
5005,king protea
2601,king protea
4835,king protea
1185,king protea
11890,king protea
3101,king protea
618,king protea
9268,king protea
293,king protea
6446,king protea
9419,king protea
353,king protea
7464,king protea
2143,king protea
2052,king protea
6578,king protea
4200,king protea
1947,king protea
5450,king protea
9177,king protea
757,king protea
2,king protea
5174,king protea
11452,king protea
4442,king protea
4435,king protea
6114,king protea
11999,king protea
5133,king protea
3520,king protea
4488,king protea
3481,king protea
3330,king protea
1286,king protea
6057,king protea
10967,king protea
1318,king protea
3253,king protea
2070,king protea
2050,king protea
6312,king protea
7257,king protea
11365,king protea
6086,king protea
3544,king protea
10041,king protea
2098,daisy
4731,daisy
11214,daisy
10029,daisy
12335,daisy
6152,daisy
11021,daisy
5433,daisy
8390,daisy
9458,daisy
7243,daisy
5050,daisy
1896,daisy
7268,daisy
744,daisy
5131,daisy
5839,daisy
9255,daisy
2538,daisy
5426,daisy
6120,daisy
4597,daisy
7085,daisy
3322,daisy
5896,daisy
3376,daisy
5610,daisy
899,daisy
6326,daisy
7385,daisy
4239,daisy
2731,daisy
10490,daisy
1188,daisy
11218,daisy
11716,daisy
8018,daisy
11334,daisy
7423,daisy
8893,daisy
6463,daisy
4549,daisy
3901,daisy
2805,daisy
10760,daisy
4125,daisy
11642,daisy
2786,daisy
2114,daisy
8940,daisy
10236,daisy
11893,daisy
11672,daisy
1593,daisy
7547,daisy
2631,daisy
11593,daisy
4400,daisy
4962,daisy
7259,daisy
443,daisy
6024,daisy
1821,daisy
8217,daisy
3812,daisy
12505,daisy
4041,daisy
3847,daisy
6833,daisy
12272,daisy
2178,daisy
3882,daisy
5811,daisy
7050,daisy
4822,daisy
6483,daisy
10999,daisy
11045,daisy
12423,daisy
11739,daisy
9360,daisy
6208,daisy
3887,daisy
11341,daisy
3275,daisy
772,daisy
4779,daisy
12244,daisy
3095,daisy
1176,daisy
9439,daisy
1043,daisy
98,daisy
12092,daisy
6020,daisy
4840,daisy
3959,daisy
7297,daisy
6002,daisy
9327,daisy
4181,daisy
6294,daisy
4109,daisy
12570,daisy
47,daisy
8964,daisy
8697,daisy
7159,daisy
1878,daisy
11137,daisy
7870,daisy
8993,daisy
6015,daisy
8235,daisy
8639,daisy
3005,daisy
663,daisy
8216,daisy
4117,daisy
5434,daisy
12204,daisy
4690,daisy
4679,daisy
3052,daisy
4004,daisy
5833,daisy
5221,daisy
10325,daisy
3156,daisy
3003,daisy
11421,daisy
10981,daisy
11354,daisy
11140,daisy
7700,daisy
6439,daisy
9353,daisy
11902,daisy
4460,daisy
10245,daisy
7418,daisy
10817,daisy
12079,daisy
5046,daisy
11419,daisy
10093,daisy
4143,daisy
2812,daisy
762,daisy
10653,daisy
12698,daisy
4298,daisy
6776,daisy
11389,daisy
1267,daisy
7511,daisy
7086,daisy
7645,daisy
711,daisy
6072,daisy
6404,daisy
8785,daisy
1415,daisy
10731,daisy
9366,daisy
10003,daisy
6118,daisy
10619,daisy
1388,daisy
7628,daisy
6705,daisy
7116,daisy
2322,daisy
6023,daisy
7220,daisy
9,daisy
11835,daisy
5800,daisy
12151,daisy
8411,daisy
1760,daisy
8461,daisy
5344,daisy
3692,daisy
7959,daisy
5650,daisy
7518,daisy
6385,daisy
7665,daisy
9351,daisy
12320,daisy
9863,daisy
1102,daisy
7756,daisy
253,daisy
10855,daisy
3583,daisy
2738,daisy
5952,daisy
8998,daisy
8624,daisy
2336,daisy
5974,daisy
548,daisy
1202,daisy
2068,daisy
9485,daisy
5068,daisy
10499,daisy
7749,daisy
4987,daisy
9154,daisy
10781,daisy
6224,daisy
489,daisy
10520,daisy
815,daisy
267,daisy
2679,daisy
794,daisy
12109,daisy
11972,daisy
1161,daisy
1458,daisy
2166,daisy
8399,daisy
4761,daisy
630,daisy
9186,daisy
6054,daisy
3495,daisy
210,daisy
7989,daisy
2810,daisy
5872,daisy
10645,daisy
279,daisy
6485,daisy
2795,daisy
8673,daisy
9434,daisy
5438,daisy
8378,daisy
6900,daisy
10346,daisy
11096,daisy
8163,daisy
9469,daisy
8384,daisy
12629,daisy
4347,daisy
2880,daisy
3625,daisy
11747,daisy
41,daisy
3784,daisy
11313,daisy
6172,daisy
6260,daisy
3991,daisy
8015,daisy
10648,daisy
3706,daisy
9762,daisy
1498,daisy
11426,daisy
6297,daisy
675,daisy
9089,daisy
377,daisy
1775,daisy
10084,daisy
11229,daisy
12049,daisy
2084,daisy
8711,daisy
7826,daisy
3791,daisy
4724,daisy
10344,daisy
8257,daisy
5121,daisy
7429,daisy
10913,daisy
1345,daisy
1958,daisy
8662,daisy
7765,daisy
2646,daisy
3302,daisy
10304,daisy
4256,daisy
12569,daisy
1216,daisy
10363,daisy
9219,daisy
9941,daisy
5464,daisy
6687,daisy
5365,daisy
11658,daisy
8790,daisy
3858,daisy
268,daisy
11192,daisy
6852,daisy
8648,daisy
7054,daisy
8755,daisy
10319,daisy
12606,daisy
9000,daisy
11071,daisy
11749,daisy
3398,daisy
7093,daisy
2808,daisy
10859,daisy
11208,daisy
7442,daisy
12502,daisy
11935,daisy
1329,daisy
10555,daisy
9537,daisy
9720,daisy
12319,daisy
1109,daisy
8689,daisy
4030,daisy
2193,daisy
392,daisy
371,daisy
2293,daisy
8519,daisy
2488,daisy
10239,daisy
9400,daisy
4709,daisy
408,daisy
5819,daisy
3716,daisy
7002,daisy
3025,daisy
2919,daisy
11080,daisy
11129,daisy
140,daisy
12365,daisy
5053,daisy
9143,daisy
8025,daisy
1673,daisy
5453,daisy
12486,daisy
11758,daisy
8124,daisy
3046,daisy
9726,daisy
8805,daisy
6647,daisy
3103,daisy
12664,daisy
3450,daisy
6490,daisy
1460,daisy
6203,daisy
342,daisy
10889,daisy
4654,daisy
4743,daisy
3781,daisy
5936,daisy
732,daisy
3418,daisy
8380,daisy
2671,daisy
8027,daisy
1743,daisy
1491,daisy
4083,daisy
11014,daisy
979,daisy
3944,daisy
3810,daisy
2623,daisy
12665,daisy
2619,daisy
6773,daisy
2487,daisy
305,daisy
4721,daisy
11844,daisy
11443,daisy
6106,daisy
985,daisy
709,daisy
5369,daisy
11142,daisy
8950,daisy
10065,daisy
12544,daisy
2251,daisy
11843,daisy
7978,daisy
1268,daisy
2579,daisy
855,daisy
6925,daisy
6496,daisy
11866,daisy
8346,daisy
1035,daisy
1413,daisy
11535,daisy
277,daisy
5971,daisy
9669,daisy
7378,daisy
12072,daisy
11639,daisy
8657,daisy
6595,cyclamen 
5168,cyclamen 
9860,cyclamen 
10022,cyclamen 
2276,cyclamen 
2334,cyclamen 
9972,cyclamen 
12523,cyclamen 
3996,cyclamen 
4579,cyclamen 
7382,cyclamen 
5124,cyclamen 
8861,cyclamen 
1015,cyclamen 
6598,cyclamen 
10087,cyclamen 
984,cyclamen 
6825,cyclamen 
11937,cyclamen 
9675,cyclamen 
1273,cyclamen 
5246,cyclamen 
6367,cyclamen 
4271,cyclamen 
692,cyclamen 
10370,cyclamen 
9835,cyclamen 
8865,cyclamen 
11560,cyclamen 
10721,cyclamen 
4233,cyclamen 
3527,cyclamen 
3834,cyclamen 
5346,cyclamen 
10796,cyclamen 
2617,cyclamen 
4407,cyclamen 
3051,cyclamen 
12038,cyclamen 
5906,cyclamen 
26,cyclamen 
3967,cyclamen 
11873,cyclamen 
4578,cyclamen 
6568,cyclamen 
7597,cyclamen 
10045,cyclamen 
1248,cyclamen 
12125,cyclamen 
8278,cyclamen 
3029,cyclamen 
1378,cyclamen 
12378,cyclamen 
8327,cyclamen 
1901,cyclamen 
11979,cyclamen 
2028,cyclamen 
12723,cyclamen 
573,cyclamen 
8148,cyclamen 
10780,cyclamen 
4971,cyclamen 
1620,cyclamen 
3844,cyclamen 
10444,cyclamen 
3865,cyclamen 
329,cyclamen 
9138,cyclamen 
1730,cyclamen 
1442,cyclamen 
10537,cyclamen 
7497,cyclamen 
6163,cyclamen 
12447,cyclamen 
6729,cyclamen 
9519,cyclamen 
11645,cyclamen 
11685,cyclamen 
8096,cyclamen 
7179,cyclamen 
3715,cyclamen 
9741,cyclamen 
12091,cyclamen 
8160,cyclamen 
9001,cyclamen 
7087,cyclamen 
8265,cyclamen 
4220,cyclamen 
3493,cyclamen 
875,cyclamen 
4354,cyclamen 
11539,cyclamen 
5876,cyclamen 
3612,cyclamen 
1869,cyclamen 
3000,cyclamen 
10414,cyclamen 
3824,cyclamen 
5289,cyclamen 
5322,cyclamen 
2053,cyclamen 
7651,cyclamen 
5773,cyclamen 
9950,cyclamen 
10447,cyclamen 
6185,cyclamen 
9959,cyclamen 
8959,cyclamen 
5382,cyclamen 
11926,cyclamen 
3160,cyclamen 
4781,cyclamen 
7192,cyclamen 
11006,cyclamen 
7911,cyclamen 
7209,cyclamen 
1660,cyclamen 
237,cyclamen 
11936,cyclamen 
2953,cyclamen 
7063,cyclamen 
5104,cyclamen 
1539,cyclamen 
7102,cyclamen 
4397,cyclamen 
5059,cyclamen 
7252,cyclamen 
8953,cyclamen 
2559,cyclamen 
11765,cyclamen 
109,cyclamen 
7144,cyclamen 
5521,cyclamen 
380,cyclamen 
2403,cyclamen 
4905,cyclamen 
5615,cyclamen 
4237,cyclamen 
8153,cyclamen 
1159,cyclamen 
851,cyclamen 
8792,cyclamen 
2154,cyclamen 
4441,cyclamen 
9867,cyclamen 
6156,cyclamen 
776,yellow iris
2306,yellow iris
3550,yellow iris
8007,yellow iris
5327,yellow iris
12426,yellow iris
9655,yellow iris
9144,yellow iris
2113,yellow iris
8066,yellow iris
3842,yellow iris
11001,yellow iris
8658,yellow iris
7496,yellow iris
11110,yellow iris
11104,yellow iris
12168,yellow iris
7406,yellow iris
3448,yellow iris
11934,yellow iris
11069,yellow iris
12412,yellow iris
9798,yellow iris
10107,yellow iris
11800,yellow iris
11065,yellow iris
3632,yellow iris
4268,yellow iris
9224,yellow iris
12321,yellow iris
3119,yellow iris
1143,yellow iris
586,yellow iris
7891,yellow iris
4241,yellow iris
7791,yellow iris
